,Brand,Model,Ram,Rom,Screen_size,Operating System,Processor,Warranty,Price
213,Lenovo,IdeaPad,16,512,15.3,Windows 11 Home,512,1,"22,000 "
214,Apple,M4,24,,14,Mac OS,,1,"22,000 "
215,MSI,Katana,16,,15.6,64 bit Windows 11,6,2,"22,000 "
216,Samsung,Galaxy,16,512,15.6,64 bit Windows 11,512,1,"22,000 "
217,Acer,Chromebook,8,,15.6,Chrome,128,1,"11,000 "
218,Apple,M4,24,,14,Mac OS,,1,"22,000 "
219,Acer,Aspire,8,512,15.6,Windows 11,512,1,
220,Lenovo,100e,4,,11.6,Chrome,32,1,"8,200 "
221,Lenovo,100e,4,,11.6,Chrome,64,1,"9,500 "
222,Lenovo,LOQ,24,512,15.6,Windows 11 Home,512,1,"22,000 "
223,ASUS,Vivobook,8,512,15.6,Windows 11,512,1,"26,000 "
224,DELL,Inspiron,16,512,14,64 bit Windows 11 Home,512,1,
225,HP,15s,8,512,15.6,Windows 11,512,1,"22,000 "
226,HP,MSO,16,512,15.6,Windows 11 Home,512,1,"22,000 "
227,ASUS,Vivobook,8,512,15.6,Windows 11 Home,512,1,"26,000 "
228,HP,245,16,512,14,64 bit Windows 11 Home,512,1,
229,HP,Intel,8,,14,Chrome,128,1,
230,Acer,Nitro,16,512,15.6,64 bit Windows 11 Home,512,1,"25,000 "
231,Lenovo,Chromebook,4,,14,Chrome,128,1,"11,000 "
232,HP,250R,8,512,15.6,Windows 11 Home,512,1,"22,000 "
233,ASUS,Vivobook,16,512,16,Windows 11 Home,,1,"26,000 "
234,MSI,Thin,16,512,15.6,64 bit Windows 11,512,2,"25,000 "
235,Apple,MacBook,16,512,14,Mac OS,512,1,
236,HP,Intel,8,512,15.6,Windows 11 Home,512,1,"22,000 "
237,ASUS,Chromebook,4,,15.6,Chrome,64,1,"11,000 "
238,Lenovo,IdeaPad,8,512,15.6,Windows 11 Home,,1,"22,000 "
239,ASUS,Vivobook,16,512,14,Windows 11 Home,,1,"26,000 "
240,DELL,Inspiron,16,512,15.6,Windows 11,512,,"22,000 "
241,DELL,16,16,512,16,Windows 11,,1,"22,000 "
242,Lenovo,LOQ,24,,15.6,Windows 11 Home,8,1,"32,000 "
243,DELL,Latitude,16,512,15.6,64 bit Windows 11 Home,512,1,"22,000 "
244,Acer,TravelLite,8,512,14,64 bit Windows 11 Home,512,1,
245,DELL,G15,16,,15.6,Windows 11,8,,
246,DELL,14,16,512,14,Windows 11,512,1,"22,000 "
247,Lenovo,IdeaPad,16,,14,Windows 11,,,"22,000 "
248,Lenovo,IdeaPad,16,512,,Windows 11 Home,512,1,"22,000 "
249,Acer,Aspire,16,512,15.6,Windows 11,512,1,
250,ASUS,Gaming,16,512,16,Windows 11 Home,,,
251,ASUS,Vivobook,8,512,15.6,Windows 11 Home,512,1,"26,000 "
252,Acer,One,8,512,14,64 bit Windows 11,512,1,"20,000 "
253,HP,Chromebook,4,,11.6,Chrome,32,1,"11,000 "
254,ASUS,Chromebook,4,,14,Chrome,64,1,
255,Acer,Nitro,16,512,15.6,64 bit Windows 11 Home,512,1,"25,000 "
256,ASUS,Vivobook,16,512,15.6,Windows 11 Home,,1,
257,DELL,15,8,512,15,Windows 11 Home,512,,
258,DELL,Inspiron,16,512,15.6,64 bit Windows 11,512,,"22,000 "
259,Lenovo,,16,512,14,Windows 11 Home,512,1,"22,000 "
260,Apple,MacBook,16,512,15.3,Mac OS,512,1,"22,000 "
261,Thomson,NEO,8,512,15.6,Windows 11,512,,"22,000 "
262,Lenovo,LOQ,24,512,15.6,Windows 11,512,1,
263,ASUS,Vivobook,16,512,15.6,Windows 11 Home,,1,"26,000 "
264,Lenovo,Yoga,16,,14,Windows 11,,,"22,000 "
265,ASUS,Vivobook,8,512,15.6,Windows 11 Home,512,1,"26,000 "
266,DELL,Inspiron,16,512,15.6,Windows 11,512,,"22,000 "
267,DELL,16,16,512,16,Windows 11,,1,"22,000 "
268,Lenovo,Ideapad,16,512,15.6,Windows 11,512,,
269,Primebook,2,8,,15.6,64 bit Android,256,1,
270,DELL,14,16,512,14,Windows 11,512,1,"22,000 "
271,Acer,Aspire,16,,14,64 bit Windows 11 Home,,1,"22,000 "
272,ASUS,Vivobook,8,512,15.6,Windows 11,512,,"26,000 "
273,ASUS,Zenbook,32,,14,Windows 11,,1,"26,000 "
274,Lenovo,Lenovo,16,512,15.6,Windows 11,512,1,
275,ASUS,TUF,16,512,17.3,Windows 11,512,1,"22,000 "
276,Acer,Nitro,16,512,16,64 bit Windows 11,512,1,
277,ASUS,Vivobook,16,512,14,Windows 11 Home,,1,"26,000 "
278,ASUS,Vivobook,16,512,15.6,Windows 11 Home,,1,"26,000 "
279,Lenovo,V,16,512,14,64 bit Windows 11,512,1,
280,Lenovo,IdeaPad,16,512,14,Windows 11,512,,"22,000 "
281,ASUS,TUF,32,,16,Windows 11 Home,,1,"32,000 "
282,ASUS,Vivobook,16,512,14,Windows 11 Home,,1,"26,000 "
283,HP,15,16,512,15.6,64 bit Windows 11,512,1,
284,MSI,Thin,16,512,15.6,Windows 11,512,2,
285,DELL,Inspiron,8,512,15.6,64 bit Windows 11,512,,"22,000 "
286,Thomson,Intel,4,128,14.1,64 bit Windows 11,128,1,"11,000 "
287,ASUS,Vivobook,8,512,14.1,64 bit Windows 11,512,1,"22,000 "
288,MSI,Prestige,16,,13.3,Windows 11,,2,"22,000 "
289,HP,Victus,16,512,15.6,Windows 11 Home,512,1,"22,000 "
290,Samsung,Galaxy,16,512,15.6,64 bit Windows 11,512,1,"22,000 "
291,Acer,Chromebook,8,,15.6,Chrome,128,1,"11,000 "
292,HP,OMEN,24,,16,Windows 11 Home,8,1,"22,000 "
293,Acer,Aspire,12,256,14,Windows 11,256,1,
294,Acer,Aspire,8,512,15.6,Windows 11,512,1,
295,Lenovo,Legion,32,,16,64 bit Windows 11 Home,8,1,"32,000 "
